X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
426;357;0.2699115;0.4022785;0.2405174;0.2456654;392.9;0.1999451;False;2026-06-19 9:40:54 AM:654;1781854854654;;
424;352;0.2690419;0.3966535;0.23645;0.3147576;393.6;0.1994648;False;2026-06-19 9:40:54 AM:686;1781854854686;;
423;343;0.268482;0.3870633;0.2379019;0.2764294;394.2;0.199487;False;2026-06-19 9:40:54 AM:716;1781854854716;;
423;330;0.2681682;0.372261;0.240532;0.2361256;394.4;0.2108187;False;2026-06-19 9:40:54 AM:746;1781854854746;;
423;306;0.2681169;0.3450348;0.2452763;0.1706588;394.6;0.2108203;False;2026-06-19 9:40:54 AM:778;1781854854778;;
422;300;0.2678567;0.3380283;0.2405319;0.2361266;394.8;0.2108185;False;2026-06-19 9:40:54 AM:809;1781854854809;;
421;296;0.2672308;0.3341064;0.2340561;0.2496223;394.5;0.2151832;False;2026-06-19 9:40:54 AM:840;1781854854840;;
421;289;0.26704;0.3255071;0.2393144;0.2092265;394.2;0.2151873;False;2026-06-19 9:40:54 AM:870;1781854854870;;
420;287;0.266451;0.323288;0.2327891;0.2478307;394.1;0.2132116;False;2026-06-19 9:40:54 AM:905;1781854854905;;
419;285;0.2659797;0.3215311;0.232789;0.2478345;394.0;0.2132121;False;2026-06-19 9:40:54 AM:937;1781854854937;;
419;285;0.2657291;0.3209659;0.2351367;0.2594337;393.9;0.2140554;False;2026-06-19 9:40:54 AM:971;1781854854971;;
419;284;0.2655283;0.3205135;0.2351367;0.2594335;393.9;0.2140557;False;2026-06-19 9:40:55 AM:4;1781854855004;;
419;280;0.2654898;0.3155261;0.239007;0.2121635;393.5;0.2114992;False;2026-06-19 9:40:55 AM:35;1781854855035;;
418;269;0.2652714;0.3040055;0.2445887;0.167068;393.2;0.2115;False;2026-06-19 9:40:55 AM:66;1781854855066;;
647;263;0.4101876;0.2963408;0.6219465;0.1778444;395.6;0.1809388;False;2026-06-19 9:40:55 AM:102;1781854855102;;
